frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
26,1,74,2.0,2.0,1.0,21-50
28,1,63,2.0,2.0,1.0,21-50
27,1,65,2.0,2.0,1.0,21-50
30,2,57,2.0,1.0,0.0,21-50
31,1,43,2.0,2.0,1.0,21-50
26,1,61,2.0,2.0,1.0,21-50
29,1,86,2.0,2.0,1.0,21-50
27,1,65,2.0,2.0,1.0,21-50
29,1,67,2.0,2.0,1.0,21-50
28,1,64,2.0,2.0,1.0,21-50
159,2,80,7.0,3.5,5.0,101-200
28,1,59,2.0,2.0,1.0,21-50
36,1,72,2.0,2.0,1.0,21-50
25,1,87,2.0,2.0,1.0,21-50
61,1,63,2.0,2.0,1.0,51-100
36,1,65,2.0,2.0,1.0,21-50
35,1,59,2.0,2.0,1.0,21-50
44,1,74,3.0,3.0,2.0,21-50
42,1,61,3.0,3.0,2.0,21-50
40,2,70,3.0,1.5,1.0,21-50
33,1,66,2.0,2.0,1.0,21-50
23,1,57,1.0,1.0,0.0,21-50
39,1,74,2.0,2.0,1.0,21-50
47,1,59,3.0,3.0,2.0,21-50
28,1,78,2.0,2.0,1.0,21-50
30,1,75,2.0,2.0,1.0,21-50
30,1,63,2.0,2.0,1.0,21-50
40,1,86,3.0,3.0,2.0,21-50
53,2,51,2.0,1.0,0.0,51-100
45,1,84,3.0,3.0,2.0,21-50
28,1,58,2.0,2.0,1.0,21-50
24,1,66,2.0,2.0,1.0,21-50
29,1,63,2.0,2.0,1.0,21-50
42,1,71,3.0,3.0,2.0,21-50
59,1,63,2.0,2.0,1.0,51-100
14,1,64,2.0,2.0,1.0,11-20
34,1,59,2.0,2.0,1.0,21-50
32,1,67,2.0,2.0,1.0,21-50
38,1,64,2.0,2.0,1.0,21-50
48,1,70,3.0,3.0,2.0,21-50
38,1,63,2.0,2.0,1.0,21-50
30,1,79,2.0,2.0,1.0,21-50
150,1,202,6.0,6.0,5.0,101-200
24,1,220,2.0,2.0,1.0,21-50
64,1,175,2.0,2.0,1.0,51-100
52,1,71,2.0,2.0,1.0,51-100
188,1,177,7.0,7.0,6.0,101-200
14,1,60,2.0,2.0,1.0,11-20
14,1,67,2.0,2.0,1.0,11-20
14,1,62,2.0,2.0,1.0,11-20
14,1,62,2.0,2.0,1.0,11-20
14,1,61,2.0,2.0,1.0,11-20
14,1,60,2.0,2.0,1.0,11-20
14,1,60,2.0,2.0,1.0,11-20
15,1,75,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,98,2.0,2.0,1.0,11-20
15,1,63,2.0,2.0,1.0,11-20
14,1,70,2.0,2.0,1.0,11-20
14,1,73,2.0,2.0,1.0,11-20
14,1,72,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,67,2.0,2.0,1.0,11-20
14,1,78,2.0,2.0,1.0,11-20
14,1,67,2.0,2.0,1.0,11-20
14,1,61,2.0,2.0,1.0,11-20
14,1,61,2.0,2.0,1.0,11-20
14,1,58,2.0,2.0,1.0,11-20
15,1,108,2.0,2.0,1.0,11-20
14,1,73,2.0,2.0,1.0,11-20
14,1,66,2.0,2.0,1.0,11-20
14,1,60,2.0,2.0,1.0,11-20
14,1,68,2.0,2.0,1.0,11-20
14,1,60,2.0,2.0,1.0,11-20
